FacilityID,Name,Address,City,State,ZIP,County,Type,Ownership,Emergency,EHR,Geo,MSPB,ERR.AMI,ERR.CBG,ERR.COPD,ERR.HF,ERR.HIPKNEE,ERR.PNEU
50327,LOMA LINDA UNIVERSITY MEDICAL CENTER,11234 ANDERSON ST,LOMA LINDA,CA,92354,San Bernardino,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,"11234 ANDERSON ST LOMA LINDA, CA 92354 (34.049482, -117.261122)",1.010849,0.9811,1.1013,1.053,1.0382,1.1841,1.0001
170122,"ASCENSION VIA CHRISTI HOSPITALS WICHITA, INC.",929 NORTH ST FRANCIS STREET,WICHITA,KS,67214,Sedgwick,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,TRUE,"929 NORTH ST FRANCIS STREET WICHITA, KS 67214 (37.700627, -97.331694)",1.006609,0.9455,0.8977,1.0524,0.9045,0.9529,0.9841
220019,HARRINGTON MEMORIAL HOSPITAL-1,100 SOUTH STREET,SOUTHBRIDGE,MA,1550,Worcester,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,"100 SOUTH STREET SOUTHBRIDGE, MA 01550 (42.077182, -72.042065)",1.008941,1.0041,,1.021,1.0911,1.1122,1.0564
670080,SETON MEDICAL CENTER HARKER HEIGHTS,850 W CENTRAL TEXAS EXPRESSWAY,HARKER HEIGHTS,TX,76548,Bell,Acute Care Hospitals,Proprietary,TRUE,TRUE,"850 W CENTRAL TEXAS EXPRESSWAY HARKER HEIGHTS, TX 76548 (31.074292, -97.683707)",0.950138,1.0005,,0.9926,0.9491,0.9961,0.943
170017,SUSAN B ALLEN MEMORIAL HOSPITAL,720 W CENTRAL ST,EL DORADO,KS,67042,Butler,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,"720 W CENTRAL ST EL DORADO, KS 67042 (37.817438, -96.858795)",0.929489,,,0.966,0.997,1.1284,0.9914
50132,SAN GABRIEL VALLEY MEDICAL CENTER,438 W LAS TUNAS DRIVE,SAN GABRIEL,CA,91776,Los Angeles,Acute Care Hospitals,Proprietary,TRUE,TRUE,"438 W LAS TUNAS DRIVE SAN GABRIEL, CA 91776 (34.102461, -118.105572)",1.169865,1.0156,,0.919,1.1035,1.016,0.9761
340141,NEW HANOVER REGIONAL MEDICAL CENTER,2131 S 17TH ST BOX 9000,WILMINGTON,NC,28402,New Hanover,Acute Care Hospitals,Government - Local,TRUE,TRUE,"2131 S 17TH ST BOX 9000 WILMINGTON, NC 28402 (34.206183, -77.924182)",0.969829,1.0017,0.8063,1.0547,0.9543,0.8984,0.9679
510055,CABELL HUNTINGTON HOSPITAL INC,1340 HAL GREER BOULEVARD,HUNTINGTON,WV,25701,Cabell,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,"1340 HAL GREER BOULEVARD HUNTINGTON, WV 25701 (38.410022, -82.428411)",0.984485,0.9768,,0.9842,0.9532,0.8183,1.0126
490033,WARREN MEMORIAL HOSPITAL,1000 NORTH SHENANDOAH AVE,FRONT ROYAL,VA,22630,Warren,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,"1000 NORTH SHENANDOAH AVE FRONT ROYAL, VA 22630 (38.930415, -78.19893)",0.910527,,,1.001,0.9677,0.9893,0.9337
510022,CHARLESTON AREA MEDICAL CENTER,501 MORRIS STREET,CHARLESTON,WV,25301,Kanawha,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,"501 MORRIS STREET CHARLESTON, WV 25301 (38.34712, -81.626183)",0.983731,1.0247,0.9268,0.9968,1.0058,0.7983,0.9624
300017,PARKLAND MEDICAL CENTER,1 PARKLAND DRIVE,DERRY,NH,3038,Rockingham,Acute Care Hospitals,Proprietary,TRUE,TRUE,"1 PARKLAND DRIVE DERRY, NH 03038 (42.875825, -71.317578)",1.008376,1.0536,,1.1047,1.0465,1.0464,1.1705
450358,HOUSTON METHODIST HOSPITAL,6565 FANNIN,HOUSTON,TX,77030,Harris,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,"6565 FANNIN HOUSTON, TX 77030 (29.710567, -95.400118)",1.025955,0.9906,0.9645,0.9089,0.9044,1.1372,0.9697
130014,WEST VALLEY MEDICAL CENTER,1717 ARLINGTON STREET,CALDWELL,ID,83605,Canyon,Acute Care Hospitals,Proprietary,TRUE,TRUE,"1717 ARLINGTON STREET CALDWELL, ID 83605 (43.65422, -116.69564)",0.952252,0.9121,,0.978,1.0512,1.2071,0.9535
100048,JAY HOSPITAL,14114 ALABAMA ST,JAY,FL,32565,Santa Rosa,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,"14114 ALABAMA ST JAY, FL 32565 (30.95004, -87.151666)",0.985437,,,1.0242,0.9666,,0.9298
100057,ADVENTHEALTH WATERMAN,1000 WATERMAN WAY,TAVARES,FL,32778,Lake,Acute Care Hospitals,Voluntary non-profit - Church,FALSE,TRUE,"1000 WATERMAN WAY TAVARES, FL 32778 (28.822351, -81.71021)",0.952261,1.0101,1.0354,0.9765,1.0707,0.9087,0.9947
420072,HAMPTON REGIONAL MEDICAL CENTER,595 WEST CAROLINA AVENUE,VARNVILLE,SC,29944,Hampton,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,,"595 WEST CAROLINA AVENUE VARNVILLE, SC 29944 (32.855258, -81.087692)",0.893705,,,,0.9695,0.9497,1.0381
190263,HEART HOSPITAL OF LAFAYETTE,1105 KALISTE SALOOM ROAD,LAFAYETTE,LA,70508,Lafayette,Acute Care Hospitals,Proprietary,TRUE,TRUE,"1105 KALISTE SALOOM ROAD LAFAYETTE, LA 70508 (30.174933, -92.028311)",0.99274,0.9602,0.9471,,0.9456,,1.0027
230099,PROMEDICA MONROE REGIONAL HOSPITAL,718 N MACOMB ST,MONROE,MI,48162,Monroe,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,"718 N MACOMB ST MONROE, MI 48162 (41.925143, -83.389075)",0.985597,1.13,,1.0472,1.0458,1.1499,1.084
220015,"COOLEY DICKINSON HOSPITAL INC,THE",30 LOCUST STREET,NORTHAMPTON,MA,1060,Hampshire,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,,"30 LOCUST STREET NORTHAMPTON, MA 01060 (42.331626, -72.653372)",1.000522,1.0235,,0.9572,0.937,0.9067,1.092
50581,LAKEWOOD REGIONAL MEDICAL CENTER,3700 E SOUTH ST,LAKEWOOD,CA,90712,Los Angeles,Acute Care Hospitals,Proprietary,TRUE,TRUE,"3700 E SOUTH ST LAKEWOOD, CA 90712 (33.860223, -118.148749)",1.106859,1.0742,1.0476,0.9887,1.1122,0.9701,0.9783
390127,PHOENIXVILLE HOSPITAL,140 NUTT ROAD,PHOENIXVILLE,PA,19460,Chester,Acute Care Hospitals,Proprietary,TRUE,TRUE,"140 NUTT ROAD PHOENIXVILLE, PA 19460 (40.133387, -75.538053)",1.051097,0.9438,0.9988,0.9829,0.9284,1.1127,0.9941
30121,"MOUNTAIN VISTA MEDICAL CENTER, LP",1301 SOUTH CRISMON ROAD,MESA,AZ,85209,Maricopa,Acute Care Hospitals,Proprietary,TRUE,TRUE,"1301 SOUTH CRISMON ROAD MESA, AZ 85209 (33.3911, -111.615329)",0.980569,0.9014,1.0372,1.01,1.0163,0.9456,0.9876
360133,GRANDVIEW HOSPITAL & MEDICAL CENTER,405 GRAND AVENUE,DAYTON,OH,45405,Montgomery,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,"405 GRAND AVENUE DAYTON, OH 45405 (39.768985, -84.202998)",1.042686,0.8982,0.9959,0.9492,1.0686,0.9435,0.9273
260180,CHRISTIAN HOSPITAL NORTHEAST-NORTHWEST,11133 DUNN ROAD,SAINT LOUIS,MO,63136,St. Louis,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,"11133 DUNN ROAD SAINT LOUIS, MO 63136 (38.775759, -90.239054)",0.996255,1.0347,0.9565,1.0674,1.0839,1.1654,1.1068
500150,LEGACY SALMON CREEK MEDICAL CENTER,2211 NE 139TH STREET,VANCOUVER,WA,98686,Clark,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,"2211 NE 139TH STREET VANCOUVER, WA 98686 (45.721823, -122.649899)",0.885963,1.0459,,0.927,0.9878,0.7488,0.8533
170183,KANSAS SURGERY & RECOVERY CENTER,2770 NORTH WEBB ROAD,WICHITA,KS,67226,Sedgwick,Acute Care Hospitals,Physician,FALSE,,"2770 NORTH WEBB ROAD WICHITA, KS 67226 (37.732911, -97.226256)",0.860644,,,,,0.798,
100256,REGIONAL MEDICAL CENTER BAYONET POINT,14000 FIVAY RD,HUDSON,FL,34667,Pasco,Acute Care Hospitals,Proprietary,TRUE,TRUE,"14000 FIVAY RD HUDSON, FL 34667 (28.360743, -82.690148)",1.029061,1.0134,1.0393,1.1217,1.1087,0.9095,1.0386
180093,BAPTIST HEALTH MADISONVILLE,900 HOSPITAL DRIVE,MADISONVILLE,KY,42431,Hopkins,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,,"900 HOSPITAL DRIVE MADISONVILLE, KY 42431 (37.339177, -87.493845)",0.996748,1.0343,0.9729,1.0226,1.0565,1.0368,1.0113
100084,LEESBURG REGIONAL MEDICAL CENTER,600 E DIXIE AVE,LEESBURG,FL,34748,Lake,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,"600 E DIXIE AVE LEESBURG, FL 34748 (28.806579, -81.869113)",1.008976,1.0711,1.0347,0.9891,1.0889,1.2398,1.0978
520027,ASCENSION COLUMBIA ST MARY'S HOSPITAL OZAUKEE,13111 N PORT WASHINGTON RD,MEQUON,WI,53097,Ozaukee,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,TRUE,"13111 N PORT WASHINGTON RD MEQUON, WI 53097 (43.25618, -87.92415)",0.962699,0.9877,1.0068,0.9411,0.9191,1.0202,0.8653
450834,"PHYSICIANS CENTRE,THE",3131 UNIVERSITY DRIVE EAST,BRYAN,TX,77802,Brazos,Acute Care Hospitals,Proprietary,TRUE,,"3131 UNIVERSITY DRIVE EAST BRYAN, TX 77802 (30.649585, -96.296515)",0.896806,,,,,1.1544,
150004,FRANCISCAN HEALTH HAMMOND,5454 HOHMAN AVE,HAMMOND,IN,46320,Lake,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,TRUE,"5454 HOHMAN AVE HAMMOND, IN 46320 (41.61449, -87.52201)",1.074372,1.0974,,1.1964,1.0904,,1.0187
110076,EMORY DECATUR HOSPITAL,2701 N DECATUR ROAD,DECATUR,GA,30033,De Kalb,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,"2701 N DECATUR ROAD DECATUR, GA 30033 (33.79216, -84.282679)",1.016184,1.0492,,1.0589,0.9999,0.9879,1.098
330047,ST MARY'S HOSPITAL AT AMSTERDAM,427 GUY PARK AVENUE,AMSTERDAM,NY,12010,Montgomery,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,"427 GUY PARK AVENUE AMSTERDAM, NY 12010 (42.953648, -74.216041)",0.984838,0.9678,,1.0335,1.0613,1.0844,1.0316
170006,VIA CHRISTI HOSPITAL PITTSBURG INC,1 MT CARMEL WAY,PITTSBURG,KS,66762,Crawford,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,"1 MT CARMEL WAY PITTSBURG, KS 66762 (37.38153, -94.68385)",0.992954,0.9989,,1.0353,0.9286,1.0247,0.8748
50242,DOMINICAN HOSPITAL,1555 SOQUEL DRIVE,SANTA CRUZ,CA,95065,Santa Cruz,Acute Care Hospitals,Proprietary,TRUE,TRUE,"1555 SOQUEL DRIVE SANTA CRUZ, CA 95065 (36.988341, -121.983818)",0.994952,0.9129,0.9424,1.023,0.9654,1.191,0.8969
50515,KAISER FOUNDATION HOSPITAL - ZION,4647 ZION AVE,SAN DIEGO,CA,92120,San Diego,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,"4647 ZION AVE SAN DIEGO, CA 92120 (32.792973, -117.095859)",0.725297,,,,0.9566,,
30110,ABRAZO WEST CAMPUS,13677 WEST MCDOWELL ROAD,GOODYEAR,AZ,85395,Maricopa,Acute Care Hospitals,Proprietary,TRUE,TRUE,"13677 WEST MCDOWELL ROAD GOODYEAR, AZ 85395 (33.464283, -112.354024)",0.978763,1.0531,1.1097,1.0505,0.9135,,1.005
110109,EMANUEL MEDICAL CENTER,117 KITE ROAD,SWAINSBORO,GA,30401,Emanuel,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,TRUE,"117 KITE ROAD SWAINSBORO, GA 30401 (32.59321, -82.346552)",0.9128,,,0.9751,0.9866,,0.9472
140304,ADVENTIST BOLINGBROOK HOSPITAL,500 REMINGTON BOULEVARD,BOLINGBROOK,IL,60440,Will,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,"500 REMINGTON BOULEVARD BOLINGBROOK, IL 60440 (41.679388, -88.083883)",1.085251,0.9933,,1.0831,1.0731,0.9303,0.9859
30084,CHINLE COMPREHENSIVE HEALTH CARE FACILITY,"US HWY 191, HOSPITAL ROAD",CHINLE,AZ,86503,Apache,Acute Care Hospitals,Government - Federal,TRUE,TRUE,"US HWY 191, HOSPITAL ROAD CHINLE, AZ 86503",0.73565,,,,0.9931,,1.0046
140187,HSHS ST ELIZABETH'S HOSPITAL,ONE ST ELIZABETH BOULEVARD,O FALLON,IL,62269,St. Clair,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,TRUE,"ONE ST ELIZABETH BOULEVARD O FALLON, IL 62269",0.983747,1.0482,0.9498,0.9216,1.0083,0.9952,1.0039
150058,MEMORIAL HOSPITAL OF SOUTH BEND,615 N MICHIGAN ST,SOUTH BEND,IN,46601,St. Joseph,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,"615 N MICHIGAN ST SOUTH BEND, IN 46601 (41.683711, -86.25057)",0.967639,0.9315,1.0461,0.9291,0.8858,0.9073,0.8651
190086,NORTHERN LOUISIANA MEDICAL CENTER,401 EAST VAUGHN AVENUE,RUSTON,LA,71270,Lincoln,Acute Care Hospitals,Proprietary,TRUE,TRUE,"401 EAST VAUGHN AVENUE RUSTON, LA 71270 (32.515281, -92.633902)",1.142325,1.044,,1.0407,1.0582,,0.8677
170190,MANHATTAN SURGICAL HOSPITAL LLC,1829 COLLEGE AVENUE,MANHATTAN,KS,66502,Riley,Acute Care Hospitals,Physician,FALSE,TRUE,"1829 COLLEGE AVENUE MANHATTAN, KS 66502 (39.202826, -96.598183)",0.917234,,,,,0.9533,
460054,CACHE VALLEY  HOSPITAL,2380 NORTH 400 EAST,NORTH LOGAN,UT,84341,Cache,Acute Care Hospitals,Proprietary,TRUE,TRUE,"2380 NORTH 400 EAST NORTH LOGAN, UT 84341 (41.775714, -111.823092)",1.097104,,,,,1.0138,
460011,CASTLEVIEW HOSPITAL,300 NORTH HOSPITAL DRIVE,PRICE,UT,84501,Carbon,Acute Care Hospitals,Proprietary,TRUE,TRUE,"300 NORTH HOSPITAL DRIVE PRICE, UT 84501 (39.605402, -110.831911)",0.945644,,,0.9216,1.0074,0.927,0.9682
340001,CAROLINAS HEALTHCARE SYSTEM NORTHEAST,920 CHURCH ST N,CONCORD,NC,28025,Cabarrus,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,TRUE,"920 CHURCH ST N CONCORD, NC 28025 (35.434313, -80.603088)",0.998285,1.0313,0.915,0.9867,0.9005,1.1835,0.9573
200031,CARY MEDICAL CENTER,"163 VAN BUREN RD, SUITE 1",CARIBOU,ME,4736,Aroostook,Acute Care Hospitals,Government - Local,TRUE,TRUE,"163 VAN BUREN RD, SUITE 1 CARIBOU, ME 04736 (46.878237, -68.009639)",0.929374,0.9981,,1.026,1.0533,1.0237,1.067
110184,WELLSTAR DOUGLAS HOSPITAL,8954 HOSPITAL DRIVE,DOUGLASVILLE,GA,30134,Douglas,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,"8954 HOSPITAL DRIVE DOUGLASVILLE, GA 30134 (33.738973, -84.73305)",0.925426,1.0053,,1.0059,1.0127,0.9528,0.9694
340053,NOVANT HEALTH PRESBYTERIAN MEDICAL CENTER,200 HAWTHORNE LANE BOX 33549,CHARLOTTE,NC,28233,Mecklenburg,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,"200 HAWTHORNE LANE BOX 33549 CHARLOTTE, NC 28233 (35.212879, -80.825614)",0.993128,1.0662,0.9482,1.0477,1.0496,0.7972,1.0724
100040,ASCENSION ST VINCENT'S RIVERSIDE,1 SHIRCLIFF WAY,JACKSONVILLE,FL,32204,Duval,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,"1 SHIRCLIFF WAY JACKSONVILLE, FL 32204 (30.307891, -81.689154)",0.998594,1.1445,1.0919,0.9833,0.9978,0.9654,1.0251
450447,NAVARRO REGIONAL HOSPITAL,3201 WEST HIGHWAY 22,CORSICANA,TX,75110,Navarro,Acute Care Hospitals,Proprietary,TRUE,TRUE,"3201 WEST HIGHWAY 22 CORSICANA, TX 75110 (32.085083, -96.503582)",0.979385,1.0613,,0.9333,1.0231,0.8278,0.9409
230132,HURLEY MEDICAL CENTER,ONE HURLEY PLAZA,FLINT,MI,48503,Genesee,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,,"ONE HURLEY PLAZA FLINT, MI 48503",0.980639,1.1316,,1.0495,1.1297,1.2151,1.1025
350006,TRINITY HOSPITALS,407 3RD ST SE,MINOT,ND,58701,Ward,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,,"407 3RD ST SE MINOT, ND 58701 (48.232479, -101.288452)",0.939973,0.9943,1.2027,1.0706,0.9964,0.8312,0.9812
190298,CENTRAL LOUISIANA SURGICAL HOSPITAL,651 NORTH BOLTON AVE,ALEXANDRIA,LA,71301,Rapides,Acute Care Hospitals,Physician,FALSE,TRUE,"651 NORTH BOLTON AVE ALEXANDRIA, LA 71301 (31.315236, -92.467478)",1.012096,,,,,0.9486,
120005,HILO MEDICAL CENTER,1190 WAIANUENUE AVENUE,HILO,HI,96720,Hawaii,Acute Care Hospitals,Government - State,TRUE,TRUE,"1190 WAIANUENUE AVENUE HILO, HI 96720 (19.717467, -155.113513)",0.903668,0.9987,,0.9817,1.0014,0.9871,0.9465
350063,P H S INDIAN HOSP AT BELCOURT-QUENTIN N BURDICK,PO BOX 160,BELCOURT,ND,58316,Rolette,Acute Care Hospitals,Government - Federal,TRUE,TRUE,"PO BOX 160 BELCOURT, ND 58316",0.732688,,,1.0556,,,1.0068
50028,MAD RIVER COMMUNITY HOSPITAL,3800 JANES RD,ARCATA,CA,95521,Humboldt,Acute Care Hospitals,Proprietary,TRUE,TRUE,"3800 JANES RD ARCATA, CA 95521 (40.903309, -124.090847)",0.925377,,,0.962,1.0167,,0.939
330128,ELMHURST HOSPITAL CENTER,79-01 BROADWAY,ELMHURST,NY,11373,Queens,Acute Care Hospitals,Government - Local,TRUE,TRUE,"79-01 BROADWAY ELMHURST, NY 11373 (40.74434, -73.88598)",1.011004,1.0646,,1.0681,1.0181,,1.1412
50008,CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP,601 DUBOCE AVENUE,SAN FRANCISCO,CA,94117,San Francisco,Acute Care Hospitals,Voluntary non-profit - Other,FALSE,TRUE,"601 DUBOCE AVENUE SAN FRANCISCO, CA 94117 (37.769114, -122.434696)",0.982612,,,0.9421,0.9881,,0.9721
490037,RIVERSIDE SHORE MEMORIAL HOSPITAL,20480 MARKET STREET,ONANCOCK,VA,23417,Accomack,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,"20480 MARKET STREET ONANCOCK, VA 23417 (37.699712, -75.720937)",0.905798,1.007,,0.8772,0.9562,,0.972
140275,GENESIS HEALTH SYSTEM,801 ILLINI DR,SILVIS,IL,61282,Rock Island,Acute Care Hospitals,Government - Local,TRUE,TRUE,"801 ILLINI DR SILVIS, IL 61282 (41.493068, -90.419997)",0.898491,0.9578,,1.0632,0.9679,0.9766,1.0244
230015,THREE RIVERS HEALTH,701 S HEALTH PARKWAY,THREE RIVERS,MI,49093,St. Joseph,Acute Care Hospitals,Government - Hospital District or Authority,FALSE,TRUE,"701 S HEALTH PARKWAY THREE RIVERS, MI 49093 (41.934946, -85.647048)",0.877794,,,0.9758,1.048,1.0897,0.905
340183,NOVANT HEALTH HUNTERSVILLE MEDICAL CENTER,10030 GILEAD ROAD,HUNTERSVILLE,NC,28078,Mecklenburg,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,"10030 GILEAD ROAD HUNTERSVILLE, NC 28078 (35.407899, -80.860744)",0.947941,1.0073,,1.0544,0.9359,0.9897,0.9228
330003,ALBANY MEMORIAL HOSPITAL,600 NORTHERN BOULEVARD,ALBANY,NY,12204,Albany,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,"600 NORTHERN BOULEVARD ALBANY, NY 12204 (42.674685, -73.748861)",0.929273,0.9923,,0.9553,0.9207,,0.9107
450856,SOUTH TEXAS SPINE AND SURGICAL HOSPITAL,18600 NORTH HARDY OAK BLVD,SAN ANTONIO,TX,78258,Bexar,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,TRUE,"18600 NORTH HARDY OAK BLVD SAN ANTONIO, TX 78258 (29.613207, -98.478493)",0.949738,,,,,1.1876,
60027,FOOTHILLS HOSPITAL,4747 ARAPAHOE AVENUE,BOULDER,CO,80303,Boulder,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,"4747 ARAPAHOE AVENUE BOULDER, CO 80303 (40.014808, -105.236337)",0.994075,1.0036,0.9833,0.9217,0.8726,1.1208,0.9402
40078,NATIONAL PARK MEDICAL CENTER,1910 MALVERN AVENUE,HOT SPRINGS,AR,71901,Garland,Acute Care Hospitals,Proprietary,TRUE,TRUE,"1910 MALVERN AVENUE HOT SPRINGS, AR 71901 (34.486239, -93.033554)",1.056385,1.196,1.1278,0.9954,1.0607,0.9972,1.0305
240002,ESSENTIA HEALTH ST MARY'S MEDICAL CENTER,407 EAST THIRD STREET,DULUTH,MN,55805,St. Louis,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,"407 EAST THIRD STREET DULUTH, MN 55805 (46.792843, -92.096395)",0.965546,0.899,0.9558,0.9393,0.9669,0.7271,1.0405
260163,PARKLAND HEALTH CENTER,1101 W LIBERTY,FARMINGTON,MO,63640,St. Francois,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,"1101 W LIBERTY FARMINGTON, MO 63640 (37.780624, -90.438195)",0.945564,,,1.0376,0.9748,0.953,0.9467
10091,GROVE HILL MEMORIAL HOSPITAL,295 JACKSON HWY S,GROVE HILL,AL,36451,Clarke,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,TRUE,"295 JACKSON HWY S GROVE HILL, AL 36451 (31.694213, -87.777231)",0.971378,,,1.0477,1.0248,,0.9759
230080,MCLAREN CENTRAL MICHIGAN,1221 SOUTH DRIVE,MOUNT PLEASANT,MI,48858,Isabella,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,"1221 SOUTH DRIVE MOUNT PLEASANT, MI 48858 (43.598528, -84.761389)",0.963834,0.9973,,1.0273,0.9454,0.9198,0.9456
