,MSPB,FacilityID,Name,County
2144,1.05824,100189,NORTHWEST MEDICAL CENTER,Broward
1573,1.05597,100017,HALIFAX HEALTH MEDICAL CENTER,Volusia
1563,1.054522,100299,LAKEWOOD RANCH MEDICAL CENTER,Manatee
551,1.054337,100105,CLEVELAND CLINIC INDIAN RIVER HOSPITAL,Indian River
368,1.053607,100070,VENICE REGIONAL MEDICAL CENTER - BAYFRONT HEALTH,Sarasota
1789,1.053312,100044,CLEVELAND CLINIC MARTIN NORTH HOSPITAL,Martin
2736,1.052792,100223,FORT WALTON BEACH MEDICAL CENTER,Okaloosa
311,1.050921,100142,JACKSON HOSPITAL,Jackson
1073,1.049757,100200,BROWARD HEALTH IMPERIAL POINT,Broward
842,1.048331,100028,PARRISH MEDICAL CENTER,Brevard
390,1.047958,100228,WESTSIDE REGIONAL MEDICAL CENTER,Broward
2614,1.04795,100039,BROWARD HEALTH MEDICAL CENTER,Broward
499,1.047858,100087,SARASOTA MEMORIAL HOSPITAL,Sarasota
2843,1.046314,100062,ADVENTHEALTH OCALA,Marion
466,1.046162,100034,MOUNT SINAI MEDICAL CENTER,Miami-Dade
2727,1.044722,100019,HOLMES REGIONAL MEDICAL CENTER,Brevard
707,1.04341,100236,FAWCETT MEMORIAL HOSPITAL,Charlotte
1632,1.043318,100254,CAPITAL REGIONAL MEDICAL CENTER,Leon
1002,1.0431059999999999,100067,ST ANTHONYS HOSPITAL,Pinellas
2531,1.042043,100131,AVENTURA HOSPITAL AND MEDICAL CENTER,Miami-Dade
489,1.042043,100244,CAPE CORAL HOSPITAL,Lee
638,1.0406,100179,MEMORIAL HOSPITAL JACKSONVILLE,Duval
2914,1.040333,100230,MEMORIAL HOSPITAL PEMBROKE,Broward
2482,1.0393940000000002,100134,ED FRASER MEMORIAL HOSPITAL,Baker
254,1.038961,100127,MORTON PLANT HOSPITAL,Pinellas
796,1.0380790000000002,100075,ST JOSEPHS HOSPITAL,Hillsborough
491,1.037544,100055,ADVENTHEALTH NORTH PINELLAS,Pinellas
1106,1.036359,100302,ST CLOUD REGIONAL MEDICAL CENTER,Osceola
2960,1.034889,100073,HOLY CROSS HOSPITAL,Broward
1671,1.034058,100255,TAMPA COMMUNITY HOSPITAL,Hillsborough
2222,1.033707,100030,HEALTH CENTRAL,Orange
966,1.033018,100022,JACKSON MEMORIAL HOSPITAL,Miami-Dade
1739,1.032262,100296,DOCTORS HOSPITAL,Miami-Dade
990,1.03106,100267,ENGLEWOOD COMMUNITY HOSPITAL,Sarasota
40,1.029061,100256,REGIONAL MEDICAL CENTER BAYONET POINT,Pasco
833,1.028804,100080,JFK MEDICAL CENTER,Palm Beach
155,1.0278610000000001,100269,PALMS WEST HOSPITAL,Palm Beach
814,1.0278120000000002,100081,HEALTHMARK REGIONAL MEDICAL CENTER,Walton
799,1.0277319999999999,100077,BAYFRONT HEALTH PORT CHARLOTTE,Charlotte
2913,1.0273860000000001,100167,PLANTATION GENERAL HOSPITAL,Broward
2893,1.0270860000000002,100072,ADVENTHEALTH FISH MEMORIAL,Volusia
1972,1.026866,100018,NAPLES COMMUNITY HOSPITAL,Collier
1852,1.026457,100012,LEE MEMORIAL HOSPITAL,Lee
1825,1.025195,100264,OAK HILL HOSPITAL,Hernando
1774,1.025152,100068,ADVENTHEALTH DAYTONA BEACH,Volusia
2276,1.02514,100117,BAPTIST MEDICAL CENTER - BEACHES,Duval
337,1.024832,100213,BLAKE MEDICAL CENTER,Manatee
764,1.024761,100132,SOUTH FLORIDA BAPTIST HOSPITAL,Hillsborough
1683,1.024327,100209,KENDALL REGIONAL MEDICAL CENTER,Miami-Dade
2744,1.023776,100099,LAKE WALES MEDICAL CENTER,Polk
160,1.0237180000000001,100092,STEWARD ROCKLEDGE HOSPITAL,Brevard
2413,1.023571,100088,BAPTIST MEDICAL CENTER JACKSONVILLE,Duval
766,1.022265,100135,TALLAHASSEE MEMORIAL HOSPITAL,Leon
341,1.022257,100007,ADVENTHEALTH ORLANDO,Orange
2487,1.022015,100130,LAKESIDE MEDICAL CENTER,Palm Beach
2964,1.0217040000000002,100212,OCALA REGIONAL MEDICAL CENTER,Marion
941,1.021282,100023,CITRUS MEMORIAL HOSPITAL,Citrus
360,1.021254,100253,JUPITER MEDICAL CENTER,Palm Beach
92,1.020726,100121,BARTOW REGIONAL MEDICAL CENTER,Polk
1467,1.019223,100177,CAPE CANAVERAL HOSPITAL,Brevard
2048,1.0187959999999998,100156,LAKE CITY MEDICAL CENTER,Columbia
2220,1.018784,100260,ST LUCIE MEDICAL CENTER,St. Lucie
2274,1.018373,100106,DOCTORS MEMORIAL HOSPITAL INC,Taylor
856,1.018129,100045,ADVENTHEALTH DELAND,Volusia
3013,1.0175299999999998,100220,GULF COAST MEDICAL CENTER LEE MEM HEALTH SYSTEM,Lee
1607,1.01684,100102,SHANDS LAKE SHORE REGIONAL MEDICAL CENTER,Columbia
2962,1.016536,100290,"VILLAGES REGIONAL HOSPITAL, THE",Lake
1507,1.016257,100122,NORTH OKALOOSA MEDICAL CENTER,Okaloosa
2877,1.016232,100259,SOUTH BAY HOSPITAL,Hillsborough
125,1.014817,100161,CENTRAL FLORIDA REGIONAL HOSPITAL,Seminole
1234,1.0145170000000001,100154,SOUTH MIAMI HOSPITAL,Miami-Dade
1270,1.013896,100047,BAYFRONT HEALTH PUNTA GORDA,Charlotte
2402,1.013862,100249,BAYFRONT HEALTH SEVEN RIVERS,Citrus
649,1.013727,100008,BAPTIST HOSPITAL OF MIAMI,Miami-Dade
2376,1.013368,100006,ORLANDO HEALTH ORLANDO REGIONAL MEDICAL CENTER,Orange
950,1.011551,100113,UF HEALTH SHANDS HOSPITAL,Alachua
42,1.008976,100084,LEESBURG REGIONAL MEDICAL CENTER,Lake
1035,1.008883,100069,ADVENTHEALTH CARROLLWOOD,Hillsborough
2579,1.008456,100217,STEWARD SEBASTIAN RIVER MEDICAL CENTER,Indian River
2842,1.007846,100109,ADVENTHEALTH SEBRING,Highlands
1712,1.005788,100204,NORTH FLORIDA REGIONAL MEDICAL CENTER,Alachua
2705,1.004573,100316,PALM BAY HOSPITAL,Brevard
1743,1.004294,100232,PUTNAM COMMUNITY MEDICAL CENTER,Putnam
2988,1.003666,100025,ASCENSION SACRED HEART PENSACOLA,Escambia
1987,1.001992,100211,ADVENTHEALTH DADE CITY,Pasco
714,1.001671,100049,HIGHLANDS REGIONAL MEDICAL CENTER,Highlands
65,0.9985940000000001,100040,ASCENSION ST VINCENT'S RIVERSIDE,Duval
957,0.997554,100191,MEDICAL CENTER OF TRINITY,Pasco
1574,0.9964139999999999,100014,ADVENTHEALTH NEW SMYRNA BEACH,Volusia
492,0.995972,100118,ADVENTHEALTH PALM COAST,Flagler
2355,0.995799,100128,TAMPA GENERAL HOSPITAL,Hillsborough
534,0.9947969999999999,100231,WEST FLORIDA HOSPITAL,Escambia
2779,0.9944940000000001,100124,SANTA ROSA MEDICAL CENTER,Santa Rosa
2309,0.988507,100315,VIERA HOSPITAL,Brevard
2448,0.988022,100320,POINCIANA MEDICAL CENTER,Osceola
1966,0.9878299999999999,100137,HEART OF FLORIDA REGIONAL MEDICAL CENTER,Polk
2407,0.987504,100286,PHYSICIANS REGIONAL MEDICAL CENTER - PINE RIDGE,Collier
370,0.985841,100157,LAKELAND REGIONAL MEDICAL CENTER,Polk
515,0.985593,100046,ADVENTHEALTH ZEPHYRHILLS,Pasco
27,0.9854370000000001,100048,JAY HOSPITAL,Santa Rosa
2700,0.9850620000000001,100090,FLAGLER HOSPITAL,St. Johns
2420,0.9848950000000001,100307,ASCENSION ST VINCENT'S SOUTHSIDE,Duval
824,0.978377,100110,OSCEOLA REGIONAL MEDICAL CENTER,Osceola
2278,0.9778309999999999,100175,DESOTO MEMORIAL HOSPITAL,De Soto
1142,0.9745940000000001,100313,SACRED HEART HOSPITAL ON THE GULF,Gulf
2121,0.971311,100319,ADVENTHEALTH WESLEY CHAPEL,Pasco
299,0.971203,100151,MAYO CLINIC,Duval
1435,0.9647309999999999,100001,UF HEALTH JACKSONVILLE,Duval
2948,0.963618,100093,BAPTIST HOSPITAL,Escambia
1132,0.958615,100289,CLEVELAND CLINIC HOSPITAL,Broward
712,0.957616,100051,SOUTH LAKE HOSPITAL,Lake
2133,0.957549,100243,BRANDON REGIONAL HOSPITAL,Hillsborough
1041,0.95741,100292,SACRED HEART HOSPITAL ON THE EMERALD COAST,Walton
121,0.9554799999999999,100321,ASCENSION ST VINCENT'S CLAY COUNTY,Clay
985,0.952656,100252,RAULERSON HOSPITAL,Okeechobee
28,0.952261,100057,ADVENTHEALTH WATERMAN,Lake
174,0.947152,100140,BAPTIST MEDICAL CENTER - NASSAU,Nassau
374,0.944267,100206,MEMORIAL HOSPITAL OF TAMPA,Hillsborough
1912,0.9437040000000001,100054,TWIN CITIES HOSPITAL,Okaloosa
2765,0.9350290000000001,100314,WEST KENDALL BAPTIST HOSPITAL,Miami-Dade
1052,0.929898,100150,LOWER KEYS MEDICAL CENTER,Monroe
1953,0.929226,100266,GULF BREEZE HOSPITAL,Santa Rosa
2045,0.899134,100107,LEHIGH REGIONAL MEDICAL CENTER,Lee
394,0.772207,100277,DOUGLAS GARDENS HOSPITAL,Miami-Dade
