TABLE 16B.?ACTUAL HOSPITAL VALUE-BASED PURCHASING PROGRAM (VBP) ADJUSTMENT FACTORS FOR FY 2018*					
CMS Certification Number (CCN)	Actual FY 2018 Hospital VBP Adjustment Factor				
050677	1.0152412671				
050678	1.0005184018				
050684	1.0015852761				
050686	1.0040356454				
050688	0.9926235320				
050689	1.0012480061				
050690	1.0150485414				
050696	0.9934265557				
050701	0.9972902466				
050704	1.0003807406				
050709	1.0159915206				
050710	1.0127908977				
050714	1.0178384750				
050723	1.0156542507				
050724	0.9977548532				
050727	0.9923344435				
050735	1.0021152717				
050736	0.9919008107				
050737	1.0039943471				
050739	1.0015577438				
050740	1.0049579755				
050742	0.9968153155				
050744	0.9909853637				
050746	0.9963610336				
050747	0.9865526731				
050748	1.0136994616				
050755	1.0060179667				
050757	0.9999952892				
050758	0.9983089395				
050760	1.0146906223				
050761	1.0016541067				
050763	0.9936835232				
050764	0.9944544259				
050765	1.0120567046				
050767	1.0115519469				
050770	1.0047514837				
050771	1.0014166411				
050772	1.0116070114				
050773	1.0014407318				
050775	1.0050543383				
050776	0.9914671779				
050777	1.0080828847				
050779	1.0067888694				
060001	1.0022873482				
060003	1.0004771034				
060004	1.0063070552				
060006	1.0063070552				
060008	1.0086197634				
060009	1.0038498028				
060010	1.0056393984				
060011	0.9968703800				
060012	1.0003738575				
060013	1.0075597721				
060014	0.9982056936				
060015	0.9956589614				
060016	1.0004530127				
060020	1.0032372105				
060022	0.9973177789				
060023	0.9962233724				
060024	1.0007937242				
060027	1.0030307187				
060028	1.0011654094				
060030	0.9933462533				
060031	0.9953216915				
060032	1.0042352542				
060034	0.9903590053				
060044	1.0011034619				
060049	1.0182560473				
060054	0.9932980719				
060064	1.0085715819				
060065	0.9993895799				
060075	1.0015852761				
060076	1.0026934487				
060096	1.0123779141				
060100	1.0050818705				
060103	0.9984293931				
060104	1.0045243427				
060112	1.0043935645				
060113	0.9954180543				
060114	1.0081654814				
060116	1.0043385001				
060118	1.0223996494				
060119	1.0017642356				
060125	0.9945989702				
060126	1.0156542507				
070002	1.0032440935				
070003	1.0004289220				
070004	1.0137269939				
070005	0.9903590053				
070006	0.9953698729				
070007	1.0011378772				
070008	1.0040425285				
070010	1.0029687711				
070011	0.9950326030				
070012	1.0003325592				
070016	0.9945439057				
070017	0.9975724521				
070018	1.0010002160				
070019	1.0077043164				
070020	1.0012273570				
070021	1.0065961437				
070022	0.9977445286				
070024	1.0065135470				
070025	0.9929676850				
070027	0.9991830881				
070028	0.9916186052				
070029	1.0055843339				
070031	1.0022735821				
070033	0.9997474991				
070034	0.9989628302				
070035	0.9969254445				
070036	0.9992863340				
080001	0.9999126925				
080003	1.0027416301				
080004	1.0014269657				
080006	1.0042834356				
080007	1.0011929417				
080009	1.0002843777				
090001	0.9917562664				
090003	0.9975862182				
090004	0.9943374139				
090005	0.9984810160				
090006	0.9951151997				
090008	0.9941378052				
090011	0.9920728872				
100001	0.9975173876				
100002	0.9954937680				
100006	0.9952803931				
100007	1.0052952454				
100008	0.9954731188				
100009	0.9970080412				
100012	0.9931397615				
100014	0.9875163015				
100017	0.9885212282				
100018	0.9929539189				
100019	0.9967809002				
100022	0.9929676850				
100023	0.9943649462				
100025	0.9952390948				
100026	0.9962577877				
100028	0.9944200106				
100029	0.9987150401				
100030	0.9939588456				
100032	0.9926648303				
100034	1.0005872324				
100035	0.9896913484				
100038	1.0036157788				
100039	0.9942823494				
100040	0.9991830881				
100043	1.0095352103				
100044	0.9930365156				
100045	1.0082618442				
100046	1.0009038531				
100047	0.9918526293				
100048	1.0050543383				
100049	0.9915153593				
100050	0.9961407756				
100051	1.0026590334				
100052	0.9956383123				
100053	0.9991073745				
100054	1.0124260955				
100055	1.0061349787				
100057	0.9999195756				
100062	0.9949913046				
100063	0.9988389351				
100067	0.9981162138				
100068	0.9990178947				
100069	0.9985016652				
100070	0.9939726117				
100071	0.9899873200				
100072	0.9959480500				
100073	0.9962715538				
100075	1.0029894203				
100077	0.9971663516				
100080	0.9932223582				
100084	0.9896982315				
100086	0.9968153155				
100087	1.0029068236				
100088	1.0069058814				
100090	0.9972214160				
100092	0.9953148084				
100093	0.9999677570				
100099	0.9956589614				
100102	1.0061625110				
100105	0.9950326030				
100106	0.9919489921				
100107	1.0056806968				
100109	0.9970218073				
100110	0.9984603668				
100113	0.9982676412				
100117	1.0042008389				
100118	0.9954662358				
100121	0.9992966586				
100122	0.9999815231				
100124	0.9994652936				
100125	0.9996855515				
100126	1.0018261832				
100127	1.0019913766				
100128	1.0012961876				
100130	0.9996580193				
100131	0.9963816827				
100132	1.0046688869				
100135	0.9957002598				
100137	0.9923069112				
100140	1.0038738935				
100142	1.0039220749				
100150	0.9901662796				
100151	1.0118479185				
100154	1.0006835952				
100156	1.0027898116				
100157	0.9919283429				
100161	0.9969047953				
100166	0.9969116784				
100167	1.0017780018				
100168	0.9959411669				
100173	0.9951496150				
100175	1.0022598159				
100176	1.0036570771				
100177	1.0035607143				
100179	1.0000503537				
100180	0.9965881745				
100181	1.0006698291				
100183	1.0036570771				
100187	0.9905173156				
100189	0.9977169964				
100191	0.9976550488				
100200	0.9938280675				
100204	0.9935458620				
100206	0.9996580193				
100209	0.9991693220				
100211	0.9966225898				
100212	0.9903590053				
100213	0.9918044479				
100217	1.0005252848				
100220	0.9962577877				
100223	0.9913570490				
100224	1.0001398335				
100226	0.9989490641				
100228	0.9991280237				
100230	1.0054397897				
100231	0.9979647865				
100232	1.0037052585				
100236	0.9938762489				
100238	0.9986462095				
100242	0.9946402686				
100243	0.9987288062				
100244	0.9946953330				
100246	0.9945920871				
100248	0.9903590053				
100249	0.9936353418				
100252	1.0068852323				
100253	1.0045931733				
100254	0.9994928258				
100255	1.0059216039				
100256	0.9948398773				
100258	0.9937798861				
100259	0.9961889571				
100260	0.9939794948				
100264	0.9982951734				
100265	1.0007455428				
100266	1.0115829207				
100267	1.0017780018				
100268	1.0002361963				
100269	0.9977238794				
100275	0.9945920871				
100276	1.0024043602				
100281	1.0024112433				
100284	1.0010552805				
100285	1.0089088519				
100286	1.0004289220				
100287	0.9960994773				
100288	0.9927198948				
100289	1.0073670464				
100290	0.9929126205				
100291	1.0033679886				
100292	1.0025970859				
100296	0.9980680324				
100299	0.9997543821				
100302	0.9935389790				
100307	0.9966501221				
100313	1.0067888694				
100314	1.0123916802				
100315	1.0064997809				
100316	1.0057770596				
100319	1.0118823338				
100320	1.0073188650				
100321	1.0157987949				
110001	1.0077524978				
110002	0.9941171560				
110003	1.0024387755				
110005	1.0010002160				
110006	0.9981643953				
110007	0.9923482096				
110008	1.0006009985				
110010	1.0046207055				
110011	1.0025213722				
110015	1.0074152279				
110016	1.0038911012				
110018	0.9919489921				
110023	1.0140367316				
110024	1.0009589176				
110025	0.9955281833				
110026	1.0046688869				
110027	0.9933462533				
110028	0.9934770314				
110029	1.0021428039				
110030	1.0014613810				
110031	0.9904071867				
110032	1.0045725241				
110034	0.9942479341				
110035	0.9986599756				
110036	0.9904966665				
110038	0.9992175034				
110039	1.0014407318				
110041	0.9987907537				
110042	1.0088124890				
110043	0.9972007669				
110044	1.0016816389				
110045	1.0042834356				
110046	0.9964539549				
110051	1.0133897239				
110054	0.9959342838				
110064	0.9927267779				
110069	1.0063758858				
110071	0.9938762489				
110073	1.0076079535				
110074	1.0081310661				
110075	0.9931122292				
110076	0.9901869288				
110078	1.0015715100				
110079	1.0000365876				
110082	1.0019225460				
110083	1.0049648585				
110086	1.0129560911				
110087	0.9958310379				
110089	1.0032716258				
110091	0.9973728434				
110092	1.0054397897				
110095	1.0063139383				
110104	1.0040425285				
110105	1.0011034619				
110107	0.9955350664				
110109	1.0027416301				
110115	0.9959205177				
110121	1.0195087642				
110122	1.0002706116				
110124	0.9977066718				
110125	1.0047170684				
110128	1.0024525416				
110129	0.9931397615				
110132	1.0190269500				
110135	1.0032716258				
110142	1.0123779141				
110143	0.9955625986				
110146	1.0027416301				
110150	1.0081861306				
110153	1.0094870289				
110161	0.9974416740				
110164	0.9973177789				
110165	0.9978753067				
110168	1.0016816389				
110177	0.9974554401				
110184	1.0058183580				
110189	1.0067406880				
110191	0.9907857550				
110192	0.9962096062				
110194	1.0091497590				
110198	0.9910335451				
110200	1.0111573181				
110201	0.9990316608				
110215	0.9975999843				
110225	1.0054397897				
110226	1.0002843777				
110229	1.0014682641				
110230	1.0092254726				
110233	0.9997543821				
120001	0.9990041286				
120002	1.0086472956				
120004	1.0153651621				
120005	1.0052401809				
120006	1.0153651621				
120007	0.9907444566				
120011	1.0170859271				
120014	1.0142328988				
120019	1.0032716258				
120022	1.0114142857				
120026	1.0087161262				
130002	1.0065823776				
130003	0.9964780456				
130006	1.0074358770				
130007	1.0033335733				
130013	1.0147388037				
130014	1.0055361525				
130018	0.9987563384				
130025	0.9969598598				
130028	1.0037121416				
130049	1.0014269657				
130065	1.0039943471				
140001	0.9983571209				
140002	0.9997543821				
140007	0.9955901308				
140008	0.9997130838				
140010	1.0044555121				
140011	1.0023079974				
140012	1.0075356814				
140013	0.9962853199				
140015	1.0004426881				
140018	0.9937454708				
140029	0.9987288062				
140030	1.0050199230				
140032	1.0029343558				
140034	1.0141365359				
140040	0.9959962314				
140043	1.0014889132				
140046	0.9990591931				
140048	1.0047308345				
140049	1.0035125329				
140052	1.0009348269				
140053	0.9975380368				
140054	0.9910335451				
140058	1.0079693142				
140059	0.9987586328				
140062	1.0071743208				
140063	0.9998507450				
140064	1.0031270815				
140065	1.0088400213				
140067	0.9963403844				
140068	1.0001639242				
140077	1.0019707274				
140080	0.9971525855				
140082	0.9975380368				
140084	0.9958379210				
140088	0.9992381526				
140089	0.9957553243				
140091	1.0008900870				
140093	1.0007661919				
140095	1.0025970859				
140100	1.0067888694				
140101	0.9988389351				
140103	1.0030789001				
140110	1.0014889132				
140113	0.9995065920				
140114	1.0042490203				
140115	0.9942617003				
140116	1.0024387755				
140117	1.0004358051				
140118	0.9980336171				
140119	1.0067957525				
140120	0.9997062007				
140122	1.0090946945				
140124	1.0127220671				
140125	0.9979234882				
140127	1.0067751033				
140130	1.0077662639				
140133	1.0023079974				
140135	1.0041733066				
140137	1.0133897239				
140143	1.0023561788				
140145	1.0117997371				
140147	1.0031270815				
140148	0.9935458620				
140150	0.9959962314				
140155	1.0020670903				
140158	1.0007317766				
140160	0.9956589614				
140161	1.0024525416				
140162	1.0049097940				
140164	1.0043729154				
140166	1.0030307187				
140172	0.9943993615				
140174	0.9968290816				
140176	0.9990316608				
140177	1.0045725241				
140179	0.9988251690				
140180	1.0011241111				
140181	0.9953216915				
140182	1.0009245023				
140184	0.9998748357				
140185	1.0067888694				
140186	1.0054466727				
140187	1.0053709591				
140189	1.0059353700				
140191	1.0012824214				
140200	1.0026246181				
140202	0.9966157068				
140206	1.0000434706				
140208	0.9993207493				
140209	0.9985704958				
140210	1.0028861744				
140211	1.0025351383				
140213	1.0055499186				
140217	0.9996098379				
140223	1.0018881307				
140224	1.0083031426				
140228	0.9997750313				
140231	1.0085991142				
140233	0.9950394860				
140234	1.0077524978				
140239	0.9923069112				
140240	0.9985016652				
140242	1.0013787843				
140250	0.9993001002				
140251	1.0001398335				
140252	0.9947366314				
140258	1.0020464411				
140275	0.9988389351				
140276	1.0005115187				
140280	0.9955144172				
140281	1.0075460060				
140286	0.9950257199				
140288	1.0051919995				
140289	0.9935114467				
140290	1.0034643514				
140291	1.0005184018				
140292	1.0017780018				
140294	0.9981162138				
140304	1.0030031864				
150001	1.0054397897				
150002	1.0001948980				
150005	1.0052952454				
150006	1.0034643514				
150007	1.0001398335				
150008	1.0049304432				
150009	0.9940345593				
150010	1.0009933329				
150011	1.0018261832				
150012	0.9963541505				
150015	0.9945714380				
150017	0.9943580631				
150018	1.0030031864				
150021	0.9959549330				
150022	1.0035125329				
150023	1.0020877394				
150024	1.0039599318				
150026	1.0006698291				
150030	1.0100652060				
150034	1.0084408038				
150035	1.0014751471				
150037	1.0089329426				
150042	1.0042627864				
150044	0.9995203581				
150045	1.0081861306				
150046	0.9985498466				
150047	1.0005252848				
150048	1.0064103011				
150051	0.9998782772				
150056	0.9988871166				
150057	1.0071020486				
150058	0.9991073745				
150059	0.9999952892				
150061	1.0017780018				
150064	0.9936835232				
150065	1.0146424408				
150069	1.0121851884				
150072	1.0003807406				
150074	0.9984466007				
150075	1.0080897677				
150076	1.0030789001				
150082	0.9955144172				
150084	0.9943236478				
150086	0.9920935364				
150088	0.9979716696				
150089	1.0031339646				
150090	0.9948536434				
150091	1.0123297327				
150097	1.0082343120				
150100	1.0000778859				
150101	1.0142088081				
150102	1.0108361087				
150104	1.0083306748				
150109	0.9991693220				
150112	1.0007799581				
150113	1.0046620039				
150115	1.0115829207				
150125	1.0012480061				
150126	0.9952528609				
150128	0.9938280675				
150133	1.0010552805				
150146	1.0025970859				
150149	1.0054397897				
150150	0.9919971735				
150153	1.0084029470				
150157	1.0012480061				
150158	1.0103061131				
150161	1.0054397897				
150162	0.9964849286				
150165	0.9946712423				
150169	0.9910886096				
150173	0.9954111713				
150175	1.0026934487				
150176	0.9909130916				
150181	1.0183524102				
160001	1.0108842901				
160005	1.0080415863				
160008	0.9863599474				
160013	1.0038979842				
160016	1.0024525416				
160024	1.0105676693				
160028	1.0123159666				
160029	1.0141606266				
160030	0.9990798422				
160033	0.9977514117				
160040	0.9911780894				
160045	1.0046964192				
160047	1.0036088957				
160057	1.0067200388				
160058	0.9956520784				
160064	0.9970975210				
160069	1.0126119381				
160079	1.0125086922				
160080	1.0021152717				
160082	0.9969047953				
160083	0.9951220828				
160089	1.0056325153				
160104	1.0129079097				
160110	1.0033748717				
160112	1.0073911372				
160117	1.0072947743				
160122	1.0138715381				
160124	1.0123779141				
160146	0.9995754226				
160147	1.0166660605				
160153	0.9930846970				
170006	1.0010070990				
170009	1.0168106047				
170012	0.9970562226				
170013	0.9995134750				
170014	1.0128597283				
170016	0.9970011581				
170017	0.9987425723				
170020	0.9981162138				
170023	1.0046688869				
170027	1.0145460780				
170040	1.0047790159				
170049	0.9993345155				
170058	1.0065961437				
170068	0.9976343996				
170074	1.0020189089				
170086	0.9967809002				
170094	1.0241341805				
170103	1.0098242989				
170104	1.0053984913				
170105	1.0051025197				
170109	1.0168106047				
170120	1.0071261393				
170122	0.9973590772				
170123	0.9964298642				
170133	1.0008143734				
170137	1.0075597721				
170142	1.0011275526				
170145	0.9987425723				
170146	1.0081104169				
170150	1.0030789001				
170175	1.0121370070				
170176	1.0010896958				
170182	0.9949775385				
170185	1.0075115907				
170186	1.0153410714				
170191	1.0005252848				
170197	1.0046688869				
170200	1.0011998247				
180001	0.9922862620				
180002	1.0146424408				
180004	0.9996580193				
180005	0.9952735101				
180009	0.9984534838				
180010	0.9954180543				
180011	1.0064997809				
180012	1.0049097940				
180013	0.9958585702				
180017	0.9953698729				
180018	1.0021152717				
180019	1.0109565622				
180020	1.0086438541				
180021	1.0156542507				
180024	1.0065961437				
180025	1.0108361087				
180027	1.0020189089				
180035	0.9997750313				
180036	1.0045725241				
180038	0.9910266621				
180040	0.9951771472				
180043	1.0160397020				
180044	1.0020670903				
180045	1.0016816389				
180048	1.0015233285				
180049	1.0056084246				
180050	1.0078006792				
180051	0.9997268499				
180053	1.0089088519				
180056	0.9921898992				
180064	1.0017298203				
180066	1.0108361087				
180067	0.9968428478				
180069	1.0138233567				
180070	1.0079452235				
180078	1.0131969982				
180079	1.0085234005				
180080	0.9999677570				
180087	0.9989352980				
180088	0.9941033899				
180092	1.0102579316				
180093	0.9945576718				
180101	1.0038498028				
180102	0.9995685395				
180103	0.9986943909				
180104	0.9920109397				
180105	0.9911780894				
180106	0.9938762489				
180116	1.0006698291				
180124	1.0023561788				
180127	0.9984534838				
180128	1.0053916082				
180130	0.9942961156				
180132	0.9958035057				
180138	1.0116551928				
180139	1.0004289220				
180141	0.9906067954				
180143	1.0011722925				
190002	1.0012067078				
190004	1.0054122574				
190005	0.9995937774				
190006	1.0058252410				
190007	1.0149797108				
190008	1.0037947383				
190011	0.9959411669				
190013	1.0086679448				
190014	1.0053916082				
190015	0.9944131276				
190017	0.9956589614				
190019	0.9940001440				
190020	1.0048134312				
190025	1.0000434706				
190026	0.9951014336				
190027	0.9940689746				
190034	1.0068129601				
190036	0.9994171122				
190039	0.9939863779				
190040	1.0032509766				
190041	1.0004908695				
190044	1.0021152717				
190045	1.0056669306				
190046	1.0003807406				
190050	1.0079934049				
190053	1.0021875438				
190054	0.9966707713				
190060	0.9999608739				
190064	0.9945026074				
190065	0.9957690904				
190079	0.9990798422				
190081	0.9983089395				
190086	0.9915153593				
190088	1.0144978966				
190090	1.0067888694				
190098	0.9934013178				
190099	0.9929126205				
190102	0.9963335013				
190111	0.9992588018				
190114	0.9944544259				
190116	1.0005252848				
190118	0.9988871166				
190125	1.0014269657				
190128	0.9996580193				
190144	1.0047411591				
190146	1.0048753787				
190151	0.9990798422				
190160	1.0021565700				
190164	1.0026211766				
190167	1.0041870727				
190176	1.0000503537				
190177	1.0044348629				
190183	1.0090533961				
190184	1.0102579316				
190190	1.0304941280				
190201	1.0011034619				
190202	1.0000090553				
190204	0.9982607581				
190205	1.0078167397				
190236	0.9970631057				
190242	0.9984534838				
190263	1.0029343558				
190274	0.9979923188				
190308	1.0036570771				
190312	1.0089088519				
200001	1.0047652498				
200008	1.0087643076				
200009	0.9957759735				
200018	1.0135342682				
200019	0.9987150401				
200020	1.0126188212				
200021	1.0021152717				
200024	0.9930089833				
200031	1.0150278922				
200033	0.9923413265				
200034	0.9988389351				
200037	1.0072706836				
200039	1.0020395580				
200041	1.0068370508				
200050	1.0127633655				
200052	1.0259971954				
200063	1.0028861744				
220001	1.0019569613				
220002	1.0033542225				
220008	0.9928506730				
220010	0.9999471078				
220011	1.0054673219				
220012	1.0042352542				
220015	0.9940207932				
220016	1.0041629820				
220017	0.9953216915				
220019	1.0012961876				
220020	1.0094388475				
220024	1.0071261393				
220029	1.0007180105				
220030	1.0031913234				
220031	1.0015026794				
220033	1.0009864499				
220035	1.0070779579				
220036	1.0003807406				
220046	0.9963610336				
220049	1.0010070990				
220052	1.0067544541				
220060	1.0001604827				
220063	0.9975173876				
220065	1.0117997371				
220066	0.9941515713				
220070	1.0040494115				
220071	1.0066787405				
220073	0.9997062007				
220074	1.0032647427				
220077	0.9994033461				
220080	1.0006767122				
220083	1.0061143295				
220084	1.0039117503				
220086	1.0022322837				
220088	1.0146263804				
220090	1.0047308345				
220095	0.9997543821				
220098	1.0000434706				
220100	1.0048271973				
220101	1.0121094748				
220105	1.0135342682				
220108	1.0038979842				
220110	1.0065135470				
220111	1.0024800739				
220116	1.0021083886				
220119	1.0148833479				
220126	0.9943924784				
220135	1.0045587580				
220163	1.0027072148				
220171	1.0052952454				
220175	0.9993413985				
220176	0.9988595843				
220177	1.0223996494				
230002	1.0016816389				
230003	1.0211951139				
230005	1.0095833918				
230015	1.0081861306				
230017	1.0007248936				
230019	1.0038360367				
230020	1.0043797984				
230021	0.9984810160				
230022	0.9940207932				
230024	0.9990660761				
